Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Curcumin,Site2,With_Water,0,With water,-6.9,0
Curcumin,Site2,With_Water,0.14076185,Without water,-6.6,0
Curcumin,Site2,With_Water,0.20598686,Reapeat with water,-6.9,0
Curcumin,Site2,With_Water,0.2046627,Repeat without water,-6.6,-6.75
Curcumin,Site2,Without_Water,0,With water,-7.8,0
Curcumin,Site2,Without_Water,0.17122419,Without water,-7.6,0
Curcumin,Site2,Without_Water,0.071211755,Reapeat with water,-7.8,0
Curcumin,Site2,Without_Water,0.17117482,Repeat without water,-7.6,-7.7
Curcumin,Site3d,With_Water,0,With water,-7.8,0
Curcumin,Site3d,With_Water,0.090196274,Without water,-7.6,0
Curcumin,Site3d,With_Water,0.1546189,Reapeat with water,-7.8,0
Curcumin,Site3d,With_Water,0.2593725,Repeat without water,-7.7,-7.725
Curcumin,Site3d,Without_Water,0,With water,-7.5,0
Curcumin,Site3d,Without_Water,0.26822734,Without water,-7.4,0
Curcumin,Site3d,Without_Water,0.18834792,Reapeat with water,-7.4,0
Curcumin,Site3d,Without_Water,0.19390921,Repeat without water,-7.4,-7.425
Curcumin,Site3m,With_Water,0,With water,-7.5,0
Curcumin,Site3m,With_Water,0.23224396,Without water,-7.4,0
Curcumin,Site3m,With_Water,0.16288972,Reapeat with water,-7.4,0
Curcumin,Site3m,With_Water,0.059942607,Repeat without water,-7.4,-7.425
Curcumin,Site3m,Without_Water,0,With water,-7.3,0
Curcumin,Site3m,Without_Water,0.11281203,Without water,-7.3,0
Curcumin,Site3m,Without_Water,0.18560961,Reapeat with water,-7.3,0
Curcumin,Site3m,Without_Water,0.19728829,Repeat without water,-7.3,-7.3
DAR_DIR,Site1,With_Water,0.000197295,With water,-7.3,0
DAR_DIR,Site1,With_Water,0.3391503,Without water,-7.3,0
DAR_DIR,Site1,With_Water,0.55360055,Reapeat with water,-7.3,0
DAR_DIR,Site1,With_Water,0.43476623,Repeat without water,-7.3,-7.3
DAR_DIR,Site1,Without_Water,0,With water,-6.1,0
DAR_DIR,Site1,Without_Water,0.3998534,Without water,-6.4,0
DAR_DIR,Site1,Without_Water,0.36305627,Reapeat with water,-6.7,0
DAR_DIR,Site1,Without_Water,0.38212267,Repeat without water,-6.6,-6.45
DAR_DIR,Site2,With_Water,0,With water,-6.8,0
DAR_DIR,Site2,With_Water,0.3192264,Without water,-6.7,0
DAR_DIR,Site2,With_Water,0.39629304,Reapeat with water,-6.7,0
DAR_DIR,Site2,With_Water,0.34919393,Repeat without water,-6.5,-6.675
DAR_DIR,Site2,Without_Water,0.000197295,With water,-7.2,0
DAR_DIR,Site2,Without_Water,0.3601452,Without water,-7,0
DAR_DIR,Site2,Without_Water,0.3286738,Reapeat with water,-7.5,0
DAR_DIR,Site2,Without_Water,0.2501506,Repeat without water,-7.5,-7.3
DAR_DIR,Site3d,With_Water,0,With water,-7.6,0
DAR_DIR,Site3d,With_Water,0.16351506,Without water,-7.5,0
DAR_DIR,Site3d,With_Water,0.27964482,Reapeat with water,-7.4,0
DAR_DIR,Site3d,With_Water,0.24240752,Repeat without water,-7.6,-7.525
DAR_DIR,Site3d,Without_Water,0,With water,-7.3,0
DAR_DIR,Site3d,Without_Water,0.29890034,Without water,-6.1,0
DAR_DIR,Site3d,Without_Water,0.41582668,Reapeat with water,-7.1,0
DAR_DIR,Site3d,Without_Water,0.12768947,Repeat without water,-6.8,-6.825
DAR_DIR,Site3m,With_Water,0,With water,-7.1,0
DAR_DIR,Site3m,With_Water,0.3937687,Without water,-6.1,0
DAR_DIR,Site3m,With_Water,0.08382247,Reapeat with water,-7,0
DAR_DIR,Site3m,With_Water,0.39316973,Repeat without water,-6.4,-6.65
DAR_DIR,Site3m,Without_Water,0,With water,-6.3,0
DAR_DIR,Site3m,Without_Water,0.02730101,Without water,-6,0
DAR_DIR,Site3m,Without_Water,0.03992296,Reapeat with water,-6.1,0
DAR_DIR,Site3m,Without_Water,0.03620465,Repeat without water,-6.1,-6.125
Diammonium,Site1,Without_Water,0.000173998,With water,-6,0
Diammonium,Site1,Without_Water,0.04613414,Without water,-6,0
Diammonium,Site1,Without_Water,0.050252054,Reapeat with water,-6.3,0
Diammonium,Site1,Without_Water,0.053226676,Repeat without water,-5.7,-6
Diammonium,Site2,With_Water,0.000173998,With water,-6.6,0
Diammonium,Site2,With_Water,0.03890796,With water,-9.6,0
Diammonium,Site2,With_Water,0.04019735,With water,-8.3,0
Diammonium,Site2,With_Water,0.041925624,With water,-5.5,-7.5
Diammonium,Site2,Without_Water,0,Without water,-6.8,0
Diammonium,Site2,Without_Water,0.039050873,Without water,-9.4,0
Diammonium,Site2,Without_Water,0.047168277,Without water,-7.7,0
Diammonium,Site2,Without_Water,0.040611718,Without water,-5.5,-7.35
Diammonium,Site3d,With_Water,0,Reapeat with water,-6.5,0
Diammonium,Site3d,With_Water,0.01670292,Reapeat with water,-9.6,0
Diammonium,Site3d,With_Water,0.039953336,Reapeat with water,-7.6,0
Diammonium,Site3d,With_Water,0.03891574,Reapeat with water,-5.7,-7.35
Diammonium,Site3d,Without_Water,0.000173998,Repeat without water,-7,0
Diammonium,Site3d,Without_Water,0.03361319,Repeat without water,-9.3,0
Diammonium,Site3d,Without_Water,0.05038833,Repeat without water,-8.1,0
Diammonium,Site3d,Without_Water,0.032489244,Repeat without water,-5.5,-7.475
Diammonium,Site3m,With_Water,0,With water,-7,0
Diammonium,Site3m,With_Water,0.04889102,With water,-9.6,0
Diammonium,Site3m,With_Water,0.04377914,With water,-8,0
Diammonium,Site3m,With_Water,0.039417792,With water,-5.7,-7.575
Diammonium,Site3m,Without_Water,0,Without water,-7.4,0
Diammonium,Site3m,Without_Water,0.030767685,Without water,-9.1,0
Diammonium,Site3m,Without_Water,0.044811886,Without water,-7.9,0
Diammonium,Site3m,Without_Water,0.038950346,Without water,-5.4,-7.45
Fisetin,Site1,With_Water,0.000195313,Reapeat with water,-7.7,0
Fisetin,Site1,With_Water,0.051588017,Reapeat with water,-9.6,0
Fisetin,Site1,With_Water,0.44590357,Reapeat with water,-7.2,0
Fisetin,Site1,With_Water,0.44209355,Reapeat with water,-5.7,-7.55
Fisetin,Site1,Without_Water,0,Repeat without water,-6.8,0
Fisetin,Site1,Without_Water,0.041893963,Repeat without water,-9.3,0
Fisetin,Site1,Without_Water,0.45116472,Repeat without water,-7.5,0
Fisetin,Site1,Without_Water,0.45030802,Repeat without water,-5.4,-7.25
Fisetin,Site2,With_Water,0,With water,-11.2,0
Fisetin,Site2,With_Water,0.029849604,Without water,-10.3,0
Fisetin,Site2,With_Water,0.44589442,Reapeat with water,-11.3,0
Fisetin,Site2,With_Water,0.4466695,Repeat without water,-11.8,-11.15
Fisetin,Site2,Without_Water,0,With water,-11.3,0
Fisetin,Site2,Without_Water,0.14702317,Without water,-10.3,0
Fisetin,Site2,Without_Water,0.44913638,Reapeat with water,-11.3,0
Fisetin,Site2,Without_Water,0.44877067,Repeat without water,-11.8,-11.175
Fisetin,Site3d,With_Water,0,With water,-13.7,0
Fisetin,Site3d,With_Water,0.16727789,Without water,-13.3,0
Fisetin,Site3d,With_Water,0.4453574,Reapeat with water,-13.7,0
Fisetin,Site3d,With_Water,0.43017644,Repeat without water,-13.3,-13.5
Fisetin,Site3d,Without_Water,0,With water,-13.7,0
Fisetin,Site3d,Without_Water,0.05505769,Without water,-13.3,0
Fisetin,Site3d,Without_Water,0.4484813,Reapeat with water,-13.7,0
Fisetin,Site3d,Without_Water,0.44953305,Repeat without water,-13.3,-13.5
