Ligand_Name,Site_Number,With_Or_Without_Water,RMSD_Value,Mean,dG
Hyperoside,Site2,Without_Water,0.09659605,0,
Hyperoside,Site2,Without_Water,0.10318805,0.075364605,
Hyperoside,Site3d,With_Water,0,0,
Hyperoside,Site3d,With_Water,0.05093515,0,
Hyperoside,Site3d,With_Water,0.048845273,0,
Hyperoside,Site3d,With_Water,0.055101063,0.038720372,
Hyperoside,Site3d,Without_Water,0,0,
Hyperoside,Site3d,Without_Water,0.14619406,0,
Hyperoside,Site3d,Without_Water,0.1445677,0,
Hyperoside,Site3d,Without_Water,0.14580046,0.109140555,
Hyperoside,Site3m,With_Water,0.000152513,0,
Hyperoside,Site3m,With_Water,0.054900177,0,
Hyperoside,Site3m,With_Water,0.04015595,0,
Hyperoside,Site3m,With_Water,0.044558205,0.034941711,
Hyperoside,Site3m,Without_Water,0,0,
Hyperoside,Site3m,Without_Water,0.054075856,0,
Hyperoside,Site3m,Without_Water,0.06075589,0,
Hyperoside,Site3m,Without_Water,0.048140403,0.040743037,
Ivermectin,Site1,With_Water,0,0,
Ivermectin,Site1,With_Water,0.04122044,0,
Ivermectin,Site1,With_Water,0.1744955,0,
Ivermectin,Site1,With_Water,0.033062305,0.062194561,
Ivermectin,Site1,Without_Water,0,0,
Ivermectin,Site1,Without_Water,0.16263184,0,
Ivermectin,Site1,Without_Water,0.16363734,0,
Ivermectin,Site1,Without_Water,0.029407842,0.088919256,
Ivermectin,Site2,With_Water,0,0,
Ivermectin,Site2,With_Water,0.1710213,0,
Ivermectin,Site2,With_Water,0.03633184,0,
Ivermectin,Site2,With_Water,0.032360815,0.059928489,
Ivermectin,Site2,Without_Water,0.000484511,0,
Ivermectin,Site2,Without_Water,0.16714828,0,
Ivermectin,Site2,Without_Water,0.16887613,0,
Ivermectin,Site2,Without_Water,0.17038286,0.126722945,
Ivermectin,Site3d,With_Water,0.000342601,0,
Ivermectin,Site3d,With_Water,0.040661387,0,
Ivermectin,Site3d,With_Water,0.046427146,0,
Ivermectin,Site3d,With_Water,0.04542013,0.033212816,
Ivermectin,Site3d,Without_Water,0,0,
Ivermectin,Site3d,Without_Water,0.18881407,0,
Ivermectin,Site3d,Without_Water,0.053012423,0,
Ivermectin,Site3d,Without_Water,0.04549888,0.071831343,
Ivermectin,Site3m,With_Water,0.000342601,0,
Ivermectin,Site3m,With_Water,0.043666482,0,
Ivermectin,Site3m,With_Water,0.03665188,0,
Ivermectin,Site3m,With_Water,0.031717878,0.02809471,
Ivermectin,Site3m,Without_Water,0,0,
Ivermectin,Site3m,Without_Water,0.034449697,0,
Ivermectin,Site3m,Without_Water,0.0370215,0,
Ivermectin,Site3m,Without_Water,0.054797925,0.031567281,
Myricetin,Site1,With_Water,0,0,
Myricetin,Site1,With_Water,0.054097418,0,
Myricetin,Site1,With_Water,0.04863073,0,
Myricetin,Site1,With_Water,0.06141805,0.04103655,
Myricetin,Site1,Without_Water,0,0,
Myricetin,Site1,Without_Water,0.052646372,0,
Myricetin,Site1,Without_Water,0.059472244,0,
Myricetin,Site1,Without_Water,0.051577054,0.040923918,
Myricetin,Site2,With_Water,0,0,
Myricetin,Site2,With_Water,0.0487877,0,
Myricetin,Site2,With_Water,0.06679436,0,
Myricetin,Site2,With_Water,0.06888627,0.046117083,
Myricetin,Site2,Without_Water,0,0,
Myricetin,Site2,Without_Water,0.0539757,0,
Myricetin,Site2,Without_Water,0.052438267,0,
Myricetin,Site2,Without_Water,0.037793398,0.036051841,
Myricetin,Site3d,With_Water,0.000181343,0,
Myricetin,Site3d,With_Water,0.055643085,0,
Myricetin,Site3d,With_Water,0.04712688,0,
Myricetin,Site3d,With_Water,0.062610395,0.041390426,
Myricetin,Site3d,Without_Water,0.000181343,0,
Myricetin,Site3d,Without_Water,0.06577907,0,
Myricetin,Site3d,Without_Water,0.052425724,0,
Myricetin,Site3d,Without_Water,0.05426312,0.043162314,
Myricetin,Site3m,With_Water,0,0,
Myricetin,Site3m,With_Water,0.035893112,0,
Myricetin,Site3m,With_Water,0.0745126,0,
Myricetin,Site3m,With_Water,0.040899202,0.037826229,
Myricetin,Site3m,Without_Water,0,0,
Myricetin,Site3m,Without_Water,0.05541152,0,
Myricetin,Site3m,Without_Water,0.06062558,0,
Myricetin,Site3m,Without_Water,0.06295531,0.044748103,
Nelfinavir,Site1,With_Water,0.000205877,0,
Nelfinavir,Site1,With_Water,0.30672896,0,
Nelfinavir,Site1,With_Water,0.40636098,0,
Nelfinavir,Site1,With_Water,0.3052939,0.254647429,
Nelfinavir,Site1,Without_Water,0,0,
Nelfinavir,Site1,Without_Water,0.21896681,0,
Nelfinavir,Site1,Without_Water,0.10095744,0,
Nelfinavir,Site1,Without_Water,0.21040212,0.132581593,
Nelfinavir,Site2,With_Water,0,0,
Nelfinavir,Site2,With_Water,0.17397387,0,
Nelfinavir,Site2,With_Water,0.15603174,0,
Nelfinavir,Site2,With_Water,0.15164421,0.120412455,
Nelfinavir,Site2,Without_Water,0,0,
Nelfinavir,Site2,Without_Water,0.36554688,0,
Nelfinavir,Site2,Without_Water,0.23812582,0,
Nelfinavir,Site2,Without_Water,0.18731047,0.197745793,
Nelfinavir,Site3d,With_Water,0,0,
Nelfinavir,Site3d,With_Water,0.17041232,0,
Nelfinavir,Site3d,With_Water,0.2974147,0,
Nelfinavir,Site3d,With_Water,0.14438249,0.153052378,
Nelfinavir,Site3d,Without_Water,0,0,
Nelfinavir,Site3d,Without_Water,0.14265896,0,
Nelfinavir,Site3d,Without_Water,0.15297124,0,
Nelfinavir,Site3d,Without_Water,0.15893139,0.113640398,
Nelfinavir,Site3m,With_Water,0,0,
Nelfinavir,Site3m,With_Water,0.3305462,0,
Nelfinavir,Site3m,With_Water,0.26487076,0,
Nelfinavir,Site3m,With_Water,0.4177914,0.25330209,
