Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Wogonoside,Site1,Without_Water,-8.296,0
Wogonoside,Site1,Without_Water,-7.583,-8.08075
Wogonoside,Site2,Without_Water,-8.199,0
Wogonoside,Site2,Without_Water,-8.327,0
Wogonoside,Site2,Without_Water,-8.705,0
Wogonoside,Site2,Without_Water,-8.241,-8.368
Wogonoside,Site3d,Without_Water,0,0
Wogonoside,Site3d,Without_Water,-7.53,0
Wogonoside,Site3d,Without_Water,-7.045,0
Wogonoside,Site3d,Without_Water,-7.886,-5.61525
Wogonoside,Site3m,Without_Water,0,0
Wogonoside,Site3m,Without_Water,-5.171,0
Wogonoside,Site3m,Without_Water,-6.077,0
Wogonoside,Site3m,Without_Water,-5.004,-4.063
